-42,62
-40,53
-49,44
-50,47
-47,47
-45,48
-46,49
-44,47
-48,46
-53,5
-54,5
-48,47
-46,45
-48,44
-51,42
-53,41
-52,37
-56,37
-40,55
-34,0,58
-35,2,64
-36,1,60
-37,48
-39,49
-38,52
-34,51
-38,59
-36,1,58
-32,2,51
-38,1,49
-41,52
-41,64
-47,57
-56,44
-52,3
-60,19
-65,2
-71,24
-84,16
-89,7
-92,24
-102,43
-95,44
-75,39
-67,34
-53,2
-50,13
-51,7
-52
-55
-66,3
-83,8
-97,21
-101,22
-139,9
-119,23
-102,27
-71,31
-63,3
-56,23
-56,2
-56,16
-51,9
-54,6
-59,3
-71,2
-110,6
-107,12
-97,21
-114,3
-112,13
-96,19
-88,19
-74,22
-71,26
-59,26
-54,18
-52,12
-60,8
-60,5
-86
-103,2
-114,8
-99
-94
-107,12
-98,11
-82,12
-81,8
-80,23
-68,3
-57,3
-43,24
-41,17
-61,15
-73,2
-90,41
-84,31
-113,57
-125,41
-89,43
-51,22
-40,12
-36,1
-37,13
-48,3
-65,56
-74,55
-75,5,30
-114,5,63
-102,61
-80,6
-71,34
-53,27
-44,25
-46,24
-48,22
-49,17
-47,22
-49,21
-76,23
-91,34
-80,23
-89,1,22
-123,5
-108,42
-80,38
-81,31
-71,24
-59,12
-55,1
-57,16
-56,17
-52,15
-55,19
-62,21
-69,24
-71,23
-102,37
-104,4
-124,26
-113,26
-85,23
-76,17
-70,15
-61,15
-58,16
-54,15
-59,2
-60,24
-61,18
-70,19
-89,19
-95,27
-114,35
-111,29
-100,25
-82,23
-73,2
-69,13
-66,15
-60,15
-58,16
-54,17
-53,16
-59,1
-70,1
-79,23
-91,45
-71,42
-67,32,84
-47,23,79
-42,23,65
-50,5,60
-50,56
-57,46
-57,33
-53,18
-44,19
-42,24
-45,28
-51,31
-43,5
-46,58
-45,9,78
-38,18,87
-34,17,85
-30,4,69
-38,1,69
-47,69
-57,66
-77,46
-78,43
-75,44
-66,38
-61,34
-45,27
-39,26
-24,2
-19,16
-11,22
-38,35,54
-67,43,57
-74,80,93
-60,79,90
-43,36,74
-41,33,70
-28,16,58
-28,1,51
-29,51
-38,43
-42,39
-39,36
-39,34
-42,31
-45,45
-57,52
-68,65
-66,73
-61,75
-61,74
-50,7
-52,61
-53,6
-50,55
-48,5
-44,43
-44,41
-43,4
-33,33
-28,27
-14,21
-11,21
-44,36,56
-43,41,65
-56,56,54
-43,73,84
-43,60,78
-52,32,72
-42,32,84
-22,27,79
-12,19,62
-13,9,58
-12,4,43
-15,38
-19,3
-28,28
-34,35
-37,34
-46,7
-49,94
-43,89
-38,67
-39,63
-30,59
-25,52
-23,42
-24,42
-22,39
-24,39
-25,49
-25,1,64
-30,7,72
-38,6,82
-38,2,81
-35,64
-31,59
-29,61
-33,56
-34,55
-28,53
-24,46
-17,34
-30,16,56
-38,22,72
-29,26,82
-27,14,78
-26,62
-25,54
-25,51
-38,56
-38,61
-37,0,57
-33,0,51
-23,1,40
-19,1,37
-16,0,37
-22,5,49
-31,9,59
-38,22,95
-24,17,101
-7,14,69
-17,12,55
-25,8,48
-36,8,57
-39,9,58
-36,10,51
-38,10,47
-40,9,49
-39,8,50
-38,7,50
-36,8,52
-35,10,53
-32,13,53
-32,13,54
-33,13,53
-33,13,53
-34,12,54
-36,11,55
-36,10,54
-35,8,48
-34,8,47
-34,9,50
-33,8,51
-31,9,55
-32,11,55
-29,13,54
-31,13,54
-32,16,54
-29,19,58
-29,19,59
-28,19,58
-28,18,58
-28,16,58
-28,14,56
-28,13,56
-27,12,54
-26,12,54
-28,12,54
-30,11,55
-31,11,55
-31,11,54
-31,11,53
-32,11,55
-31,12,56
-29,13,54
-29,13,54
-29,14,54
-29,14,55
-30,14,56
-29,13,55
-29,13,55
-30,14,54
-30,14,56
-29,14,56
-29,14,55
-29,13,55
-29,13,55
-30,13,55
-29,14,56
-28,14,56
-28,14,55
-29,14,55
-29,13,56
-30,12,55
-31,12,55
-30,12,54
-29,13,54
-28,13,55
-27,12,56
-29,13,57
-31,13,55
-32,13,54
-34,12,53
-33,11,53
-32,10,54
-31,11,53
-29,12,55
-28,11,55
-29,12,55
-31,14,56
-31,14,55
-33,14,53
-33,13,54
-32,11,54
-30,11,55
-29,11,55
-30,10,55
-31,10,55
-32,10,54
-32,10,54
-31,9,54
-33,12,54
-32,12,55
-31,10,54
-31,9,54
-32,12,55
-32,12,55
-32,11,53
-32,11,55
-31,11,55
-32,11,54
-32,11,54
-31,10,54
-31,10,54
-31,10,55
-30,10,55
-29,14,53
-23,17,65
-3,21,78
-20,21,61
-23,13,49
-51,15,12
-70,1,-14
-69
-53,1,-28
-92
-56,0,-39
-47,1,-40
-41,2,-45
-104
-143
-45,2,-53
-34,2,-51
-27,2,-48
-35,0,-49
-99
-98
-95
-94
-88
-91
-92
-97
-97
-93
-41,2,-50
-41,3,-49
-42,3,-49
-44,2,-50
-95
-95
-93
-88
-100
-98
-38,4,-34
-52,2,-34
-45,0,-38
-108
-51,0,-39
-54,1,-38
-89
-96
-34,0,-45
-101
-109
-40,0,-58
-37,0,-55
-33,1,-51
-35,0,-50
-94
-95
-99
-93
-96
-95
-93
-93
-94
-92
-94
-95
-95
-99
-97
-100
-123
-99
-101
-60,1,-27
-57,3,-17
-45,4,9
-38,2,26
-34,10,55
-32,8,51
-16,10,71
-18,10,61
-21,10,56
-19,11,60
-22,20,60
-16,14,70
-11,8,69
-20,8,54
-31,10,49
-33,11,51
-28,12,58
-26,12,59
-26,11,59
-25,11,58
-25,12,58
-25,11,58
-26,11,56
-26,12,57
-25,12,58
-25,12,57
-25,12,57
-24,13,58
-25,15,57
-23,15,56
-25,10,51
-29,13,52
-32,10,51
-26,9,60
-14,10,68
-15,10,63
-28,15,53
-24,17,58
-24,16,48
-33,20,50
-40,34,35
14,15,103
8,17,83
-18,18,49
-17,16,43
-24,13,49
-24,13,58
-20,13,60
-17,15,62
-15,18,64
-16,16,61
-21,14,48
-40,22,39
0,17,82
-8,15,70
-17,16,54
-15,17,54
-18,17,58
-21,14,58
-18,12,61
-11,11,66
-12,12,61
-15,13,53
-16,16,57
-18,17,64
-15,13,43
-26,28,42
10,17,97
-2,11,86
-15,16,53
-15,16,50
-18,16,53
-18,15,62
-16,14,63
-14,14,60
-14,14,59
-14,15,58
-15,15,57
-15,15,60
-16,15,60
-16,16,59
-16,14,53
-19,15,54
-16,12,62
-5,11,71
-5,14,65
-9,15,61
-6,15,63
-10,14,60
-10,13,59
-8,12,60
-9,12,60
-12,12,59
-9,13,61
-3,15,74
-13,12,54
-11,12,46
-35,23,39
4,14,89
-10,14,64
-13,15,52
-9,18,53
-18,16,62
-19,15,62
-16,14,59
-14,13,60
-11,14,58
-10,14,55
-20,14,48
-12,10,75
2,10,82
-6,13,61
-8,15,57
-4,15,67
-9,14,60
-19,13,44
-7,13,80
-4,7,93
-13,12,56
-15,14,46
-14,17,52
-17,15,60
-14,15,64
-17,14,59
-18,13,59
-13,12,64
-11,12,62
-10,10,61
-10,10,62
-12,13,66
-11,14,77
-11,6,51
-48,27,21
-31,27,63
1,11,76
-15,14,54
-16,15,51
-14,16,54
-16,14,60
-16,11,51
-20,11,59
-11,11,68
-13,14,59
-15,15,61
-9,17,72
-16,15,61
-33,10,36
-25,14,31
-7,11,111
5,9,87
-13,17,48
-8,18,45
-21,17,57
-21,14,63
-18,14,62
-15,14,57
-18,13,54
-19,12,57
-6,14,70
-7,14,67
-12,17,65
-9,19,74
-15,12,54
-18,9,40
-44,21,55
13,9,102
-18,15,52
-14,15,46
-17,16,51
-17,16,60
-17,15,62
-16,13,63
-12,12,65
-10,13,63
-10,14,60
-8,15,61
-11,16,65
-15,13,52
-25,14,41
-28,31,34
13,11,105
-15,14,53
-12,15,47
-15,17,51
-18,17,59
-18,15,59
-21,15,63
-10,11,69
-10,13,66
-13,13,48
-6,17,73
-5,17,82
-23,11,39
-33,28,22
2,9,90
-13,11,60
-13,13,51
-16,15,60
-19,14,62
-16,13,59
-13,14,57
-17,14,58
-22,14,60
-11,11,67
-8,11,64
-11,11,58
-13,13,59
-11,14,67
-10,10,55
-10,9,47
-32,24,34
6,9,98
-1,12,78
-15,15,46
-18,17,45
-21,16,58
-20,14,61
-12,14,61
-13,13,63
-17,12,61
-12,12,59
-11,12,60
-12,12,62
-15,12,60
